univ_key,nationality,visa_status,gender,headcount
가야대,베트남,대학부설 어학원 연수,남,22
가야대,베트남,대학부설 어학원 연수,여,10
가야대,베트남,전문학사과정,여,1
가야대,베트남,학사과정,남,20
가야대,베트남,학사과정,여,10
가야대,일본,학사과정,남,10
가야대,중국,석사과정,남,1
가야대,한국계중국인,학사과정,남,1
가천대,나이지리아,학사과정,남,1
가천대,네덜란드,교환학생,여,3
가천대,네팔,박사과정,남,4
가천대,네팔,박사과정,여,3
가천대,네팔,석사과정,남,6
가천대,네팔,석사과정,여,4
가천대,네팔,학사과정,남,34
가천대,네팔,학사과정,여,14
가천대,러시아(연방),대학부설 어학원 연수,남,1
가천대,러시아(연방),석사과정,여,1
가천대,러시아(연방),학사과정,남,1
가천대,러시아(연방),학사과정,여,1
가천대,리투아니아,교환학생,남,1
가천대,말레이시아,석사과정,남,1
가천대,말레이시아,학사과정,남,1
가천대,말레이시아,학사과정,여,1
가천대,몽골,교환학생,여,2
가천대,몽골,대학부설 어학원 연수,남,41
가천대,몽골,대학부설 어학원 연수,여,24
가천대,몽골,박사과정,남,20
가천대,몽골,박사과정,여,68
가천대,몽골,석사과정,남,48
가천대,몽골,석사과정,여,224
가천대,몽골,전문학사과정,남,2
가천대,몽골,학사과정,남,310
가천대,몽골,학사과정,여,402
가천대,미국,교환학생,남,2
가천대,미국,교환학생,여,2
가천대,미국,학사과정,남,1
가천대,미국,학사과정,여,1
가천대,미얀마,대학부설 어학원 연수,남,44
가천대,미얀마,대학부설 어학원 연수,여,73
가천대,미얀마,박사과정,여,1
가천대,미얀마,석사과정,남,5
가천대,미얀마,석사과정,여,10
가천대,미얀마,전문학사과정,남,1
가천대,미얀마,학사과정,남,43
가천대,미얀마,학사과정,여,104
가천대,방글라데시,박사과정,남,1
가천대,방글라데시,석사과정,남,19
가천대,방글라데시,석사과정,여,5
가천대,방글라데시,학사과정,여,1
가천대,베트남,대학부설 어학원 연수,남,324
가천대,베트남,대학부설 어학원 연수,여,555
가천대,베트남,박사과정,남,7
가천대,베트남,박사과정,여,5
가천대,베트남,석사과정,남,56
가천대,베트남,석사과정,여,161
가천대,베트남,학사과정,남,334
가천대,베트남,학사과정,여,656
가천대,브라질,학사과정,여,1
가천대,스리랑카,박사과정,남,1
가천대,스리랑카,석사과정,남,1
가천대,스리랑카,학사과정,여,1
가천대,싱가포르,교환학생,여,1
가천대,아프가니스탄,석사과정,남,2
가천대,오스트레일리아,대학부설 어학원 연수,여,1
가천대,우간다,학사과정,남,1
가천대,우즈베키스탄,대학부설 어학원 연수,남,7
가천대,우즈베키스탄,대학부설 어학원 연수,여,1
가천대,우즈베키스탄,박사과정,남,4
가천대,우즈베키스탄,석사과정,남,36
가천대,우즈베키스탄,석사과정,여,28
가천대,우즈베키스탄,학사과정,남,145
가천대,우즈베키스탄,학사과정,여,30
가천대,인도,박사과정,남,10
