year,school_type,establishment,region,status,univ_name,total,degree_total,humanities,natural_science,engineering,arts_sports,medicine,joint_program,training_total,language_training,exchange,visiting,other_training,lang_qualified_total,topik4_plus,english_track,english_native,lang_qualified_ratio,dorm_deg_total,dorm_deg_in,dorm_deg_out,dorm_tr_total,dorm_tr_in,dorm_tr_out,univ_key,dorm_capacity_rate,univ_name_en,dorm_capacity,dorm_fee_min,dorm_available
2025,대학교,사립,경남,기존,가야대학교(김해),12,12,10,2,0,0,0,0,0,0,0,0,0,1,1,0,0,8.3,12,0,12,0,0,0,가야대,0.0,KAYA UNIVERSITY,429.0,143.0,예
2025,대학교,사립,경기,기존,가천대학교,4996,3616,3020,49,346,201,0,0,1380,1320,60,0,0,1377,1212,165,0,38.1,3616,90,3526,1380,185,1195,가천대,5.5,Gachon University,1771.0,245.0,예
2025,대학교,사립,강원,기존,가톨릭관동대학교,157,32,23,4,3,0,2,0,125,125,0,0,0,12,12,0,0,37.5,32,0,32,125,93,32,가톨릭관동대,59.2,CATHOLIC KWANDONG UNIVERSITY,6048.0,139.0,예
2025,대학교,사립,충북,기존,가톨릭꽃동네대학교,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,100.0,2,2,0,0,0,0,가톨릭꽃동네대,100.0,KKOTTONGNAE UNIVERSITY,280.0,268.0,예
2025,대학교,사립,경기,기존,가톨릭대학교,1665,890,597,113,126,54,0,0,775,710,65,0,0,164,164,0,0,18.4,890,345,545,775,128,647,가톨릭대,28.4,THE CATHOLIC UNIVERSITY OF KOREA,1544.0,161.0,예
2025,대학교,사립,서울,기존,가톨릭대학교_제3캠퍼스,9,9,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,33.3,9,0,9,0,0,0,가톨릭대_,0.0,,,,
2025,대학교,사립,서울,기존,감리교신학대학교,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,33.3,3,0,3,0,0,0,감리교신학대,0.0,METHODIST THEOLOGICAL SEMINARY,7.0,158250.0,예
2025,대학교,사립,경기,기존,강남대학교,485,299,238,0,0,61,0,0,186,161,25,0,0,18,2,16,0,6.0,299,244,55,186,125,61,강남대,76.1,KANGNAM UNIVERSITY,1412.0,2.0,예
2025,대학교,사립,서울,기존,강서대학교,706,666,665,0,0,1,0,0,40,40,0,0,0,561,4,552,5,84.2,666,0,666,0,0,0,강서대,0.0,GANGSEO UNIVERSITY,0.0,,아니오
2025,대학교,국립,강원,기존,강원대학교,1015,731,671,18,23,19,0,0,284,183,101,0,0,385,78,306,1,52.7,731,133,598,284,161,123,강원대,29.0,KANGWON NATIONAL UNIVERSITY(Gangneung),7266.0,100.0,예
2025,대학교,국립,강원,기존,강원대학교_제2캠퍼스,99,69,25,16,14,14,0,0,30,19,3,8,0,23,23,0,0,33.3,69,30,39,30,24,6,강원대_,54.5,,,,
2025,대학교,사립,충북,기존,건국대학교(글로컬)_분교,218,204,94,9,17,84,0,0,14,2,12,0,0,11,11,0,0,5.4,204,46,158,14,10,4,건국대_,25.7,,,,
2025,대학교,사립,서울,기존,건국대학교,2228,1415,945,31,220,219,0,0,813,622,182,9,0,752,752,0,0,53.1,1415,216,1199,813,221,592,건국대,19.6,KONKUK UNIVERSITY,6183.0,315.0,예
2025,대학교,사립,충남,기존,건양대학교,430,92,69,11,12,0,0,0,338,334,4,0,0,74,30,44,0,80.4,92,48,44,338,112,226,건양대,37.2,KONYANG UNIVERSITY,1219.0,136.0,예
2025,대학교,사립,대전,기존,건양대학교_제2캠퍼스,42,42,0,19,23,0,0,0,0,0,0,0,0,24,24,0,0,57.1,42,22,20,0,0,0,건양대_,52.4,,,,
2025,사이버대학(대학),사립,대전,기존,건양사이버대학교,13,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13,0,13,0,0,0,건양사이버대,0.0,,,,
